Avenger (USA, Europe)>Avenger (USA, Europe)>1982>Other - NR (Not Rated)>Commodore>>Beat-'Em-Up
Clowns (Japan)>Clowns (Japan)>1982>Other - NR (Not Rated)>Commodore>>Breakout
Jupiter Lander (World)>Jupiter Lander (World)>1982>Other - NR (Not Rated)>Commodore>>Action
Kickman (World)>Kickman (World)>1982>Other - NR (Not Rated)>Commodore>>Action
LeMans (USA, Europe)>LeMans (USA, Europe)>1982>Other - NR (Not Rated)>Commodore>>Driving
Mole Attack (Japan)>Mole Attack (Japan)>1982>Other - NR (Not Rated)>Commodore>>Action
Money Wars (Japan)>Money Wars (Japan)>1982>Other - NR (Not Rated)>Commodore>>Action
Omega Race (Japan)>Omega Race (Japan)>1982>Other - NR (Not Rated)>Commodore>>
Pinball Spectacular (World)>Pinball Spectacular (World)>1983>Other - NR (Not Rated)>Commodore>>Action
Radar Rat Race (Japan)>Radar Rat Race (Japan)>1982>Other - NR (Not Rated)>Commodore>>Action
Road Race (Japan)>Road Race (Japan)>1982>Other - NR (Not Rated)>Commodore>>Driving
Sea Wolf (USA, Europe)>Sea Wolf (USA, Europe)>1982>Other - NR (Not Rated)>Commodore>>
Speed Math and Bingo Math (USA, Europe)>Speed Math and Bingo Math (USA, Europe)>1982>Other - NR (Not Rated)>Commodore>>
Super Alien (Japan)>Super Alien (Japan)>1982>Other - NR (Not Rated)>Commodore>>Maze
Wizard of Wor (Japan)>Wizard of Wor (Japan)>1982>Other - NR (Not Rated)>Commodore>>
